0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/contact.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/feedbackQuestion.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/studentFeedbackReport.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/studentFeedbackMaster.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/blog.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/post.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/summaryReport.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/tutorialPost.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/enquiryFollowup.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/blogAccess.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/blogAccessReport.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/yearlyReport.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/interviewStatus.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/shortEnquiry.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/eqLogin.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/employeeLeave.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/leaveDetail.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/myLeaveReport.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/enquiryTodaysFollowup.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/testQuestions.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/assignedQuestions.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/testQuesUnassign.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Apr/2022:19:40:34 +0530] "GET /ORSProject4/ctl/ang/controller/test.js HTTP/1.1" 404 805
